Pos,Driver,ALB SR,ALB FR,BHR FR,BHR SR,JED SR,JED FR,IMO FR,IMO SR,MON SR,MON FR,CAT FR,CAT SR,RBR SR,RBR FR,SIL FR,SIL SR,SPA SR,SPA FR,HUN FR,HUN SR,MNZ SR,MNZ FR,BAK FR,BAK SR,LUS SR,LUS FR,YAS FR,YAS SR,Points
1,Leonardo Fornaroli,2,C,8,3,7,4,7,5,7,2,7,21†,16†,2,1,6,1,5,5,1,1,5,5,5,,,,,188
2,Jak Crawford,Ret,C,12,16,Ret,2,1,6,4,1,4,4,DNS,3,6,1,10,17,3,3,16,11,4,1,,,,,169
3,Luke Browning,3,C,10,2,9,6,3,2,3,4,6,20,Ret,5,12,3,Ret,3,12,4,8,1,2,19,,,,,161
4,Richard Verschoor,4,C,2,6,4,1,22†,9,5,Ret,1,3,4,1,7,7,Ret,18,6,5,4,8,6,8,,,,,151
5,Alex Dunne,9,C,19,1,3,8,5,1,9,Ret,2,5,6,DSQ,Ret,2,7,9,2,9,13,Ret,3,Ret,,,,,130
6,Pepe Martí,8,C,1,4,2,5,16,14,Ret,Ret,14,6,1,6,10,9,5,4,1,10,9,3,Ret,11,,,,,112
7,Arvid Lindblad,10,C,5,8,1,7,2,4,8,5,8,1,Ret,12,9,8,17,DSQ,10,6,2,Ret,10,6,,,,,109
8,Dino Beganovic,14,C,3,7,15,13,12,3,15,Ret,15,15,Ret,9,18,4,16,7,8,7,6,6,1,3,,,,,96
9,Roman Staněk,5,C,15,17,5,12,8,17,11,7,17,11,3,8,3,Ret,6,1,13,2,5,Ret,11,13,,,,,81
10,Sebastián Montoya,6,C,Ret,19,13,Ret,9,8,6,3,11,2,5,4,2,5,15,21†,Ret,15,10,9,15,9,,,,,76
11,Victor Martins,Ret,C,14,5,8,3,4,12,17,Ret,5,8,7,7,8,19†,2,8,4,Ret,19,Ret,8,15,,,,,70
12,Joshua Dürksen,1,C,DSQ,10,12,11,11,13,Ret,Ret,NC,17,2,13,5,20†,11,11,11,12,3,2,9,2,,,,,66
13,Gabriele Minì,7,C,7,9,6,9,15,18,2,Ret,Ret,10,14†,Ret,14,Ret,3,6,14,17,7,7,7,4,,,,,57
14,Rafael Villagómez,13,C,6,12,17,17,14,Ret,18,9,3,Ret,9,11,16,10,12,14,18,13,12,4,Ret,7,,,,,29
15,Kush Maini,16,C,16,18,10,10,13,21,1,6,16,7,17,16,4,16,NC,20,9,11,Ret,12,Ret,20†,,,,,26
16,Ritomo Miyata,12,C,9,14,19,16,6,16,10,Ret,13,9,8,Ret,20,15,8,2,15,18,11,14,12,10,,,,,26
17,Oliver Goethe,11,C,4,11,11,14,10,7,12,10,18,16,11,17†,11,11,4,13,7,8,18,16,Ret,12,,,,,23
18,Amaury Cordeel,15,C,11,13,14,15,20,15,14,8,10,13,13†,Ret,19,17,Ret,10,16,Ret,17,13,16,16,,,,,3
19,Sami Meguetounif,Ret,C,13,15,16,Ret,21,10,16,12,9,12,Ret,10,13,18,18†,15,17,14,Ret,Ret,,,,,,,2
20,John Bennett,18,C,17,20,20,20,19,20,Ret,11,Ret,18,15†,14,15,12,9,12,20,Ret,14,10,13,14,,,,,1
21,Max Esterson,Ret,C,Ret,21,18,18,17,19,13,Ret,19,14,10,15,21,13,14,16,19,19,Ret,15,,,,,,,0
22,Cian Shields,17,C,18,22,Ret,19,18,11,Ret,13,12,19,12,Ret,17,14,13,19,21,16,15,Ret,14,18,,,,,0
23,Laurens van Hoepen,,,,,,,,,,,,,,,,,,,,,,,17,17,,,,,0
—,Martinius Stenshorne,,,,,,,,,,,,,,,,,,,,,,,Ret,Ret,,,,,0
